student_id,year,term,department,program,student_type,gender,race_ethnicity,age,residency_status,first_generation,financial_aid,unmet_financial_need,credits_attempted,credits_completed,completion_rate,attendance_rate,engagement_score,advising_visits,tutoring_visits,online_courses,gpa,risk_level,retention_probability,retained,graduation_probability,graduated
S00001,2023,Fall,Public Health,BS Public Health,Undergraduate,Female,Hispanic/Latino,18,In-state,Yes,Yes,1594.0,24,21,86.3,98.7,65.0,2,2,1,3.0,Low,0.757,Yes,0.536,No
S00002,2023,Spring,Health Administration,BS Health Administration,Undergraduate,Female,White,20,In-state,No,Yes,2312.0,24,20,83.3,75.4,43.4,2,0,2,3.01,Medium,0.513,Yes,0.32,Yes
S00003,2022,Spring,Nutrition,MS Nutrition,Graduate,Female,White,27,In-state,No,No,5931.0,24,24,100.0,79.4,57.5,3,0,4,3.62,Low,0.731,Yes,0.588,Yes
S00004,2024,Spring,Public Health,BS Public Health,Undergraduate,Female,Multiracial,22,In-state,No,No,9726.0,33,29,86.5,98.0,50.9,2,3,1,2.85,Medium,0.563,Yes,0.49,No
S00005,2022,Fall,Social Work,BSW,Undergraduate,Female,Hispanic/Latino,19,In-state,No,Yes,8770.0,32,29,91.4,83.3,64.9,2,4,4,2.63,Low,0.567,Yes,0.391,No
S00006,2026,Fall,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,22,In-state,Yes,No,5345.0,27,27,100.0,83.9,69.0,2,1,0,2.59,Low,0.611,No,0.388,Yes
S00007,2022,Spring,Public Health,BS Public Health,Undergraduate,Male,Black,23,International,Yes,Yes,10155.0,32,28,86.5,75.6,58.0,0,4,0,3.2,Medium,0.477,Yes,0.421,No
S00008,2022,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Black,24,In-state,Yes,No,6461.0,24,24,100.0,99.1,77.8,2,2,2,3.43,Low,0.803,Yes,0.701,No
S00009,2025,Spring,Health Administration,BS Health Administration,Undergraduate,Female,Hispanic/Latino,18,In-state,Yes,No,9422.0,24,18,74.8,96.3,81.6,2,2,1,2.04,High,0.421,Yes,0.203,No
S00010,2022,Fall,Data Science,BS Health Data Science,Undergraduate,Female,White,20,In-state,Yes,Yes,1553.0,31,29,92.7,97.4,69.2,1,1,3,2.97,Low,0.744,Yes,0.561,Yes
S00011,2024,Fall,Public Health,BS Public Health,Undergraduate,Female,Multiracial,20,In-state,Yes,Yes,2167.0,32,28,88.8,88.7,79.3,1,1,0,3.02,Low,0.737,Yes,0.55,No
S00012,2023,Spring,Data Science,BS Health Data Science,Undergraduate,Female,Hispanic/Latino,20,In-state,Yes,Yes,5441.0,24,24,100.0,79.7,78.1,2,0,1,3.62,Low,0.76,Yes,0.64,Yes
S00013,2026,Spring,Data Science,MS Health Data Science,Graduate,Male,Asian,29,In-state,Yes,Yes,3972.0,30,30,100.0,63.7,54.7,4,0,2,4.0,Medium,0.683,Yes,0.634,No
S00014,2024,Fall,Public Health,BS Public Health,Undergraduate,Male,White,22,In-state,No,Yes,0.0,33,33,100.0,85.8,56.1,0,2,2,3.5,Low,0.723,No,0.587,Yes
S00015,2026,Spring,Social Work,BSW,Undergraduate,Nonbinary,Multiracial,21,Out-of-state,No,Yes,11350.0,27,26,96.3,75.3,88.2,1,4,1,3.16,Medium,0.581,Yes,0.521,No
S00016,2024,Spring,Health Administration,BS Health Administration,Undergraduate,Male,White,20,Out-of-state,No,No,14877.0,30,30,100.0,100.0,42.7,5,0,1,2.71,Medium,0.531,Yes,0.503,No
S00017,2024,Spring,Nutrition,BS Nutrition,Undergraduate,Female,White,22,International,No,Yes,9386.0,24,23,97.5,63.0,55.0,1,1,3,2.48,Medium,0.317,No,0.187,No
